%;PORCENTAGEM
ACONDICIONADO;GUARDAR
ACONDICIONAR;GUARDAR
ACONTECIDO;ACONTECER
ACORDEÃO;SANFONA
ACORDEOM;SANFONA
ACORDEON;SANFONA
ACORDO;COMBINAR
ACOSTUMADA;ACOSTUMAR
ACRESCENTAR;MAIS
ACROBATA;EQUILIBRISTA
AÇÚCAR;DOCE
AÇUCARADO;DOCE
AÇUCARAR;DOCE
ACUMETRIA;AUDIOMETRIA
ACUOMETRIA;AUDIOMETRIA
ACUSADO;ACUSAR
ACUSANDO;ACUSAR
ADAPTADA;ADAPTADO
ADAPTANDO;ADAPTAR
ADENTRANDO;ADENTRAR
ADENTRAR;ENTRAR
ADEQUADA;ADEQUADO
ADERENTE;COLA
ADERIR;GRUDAR
ADESIVO;COLA
ADESTRADO;ENSINAR
ADESTRAR;ENSINAR
ADIADO;ADIAR
ADIAMENTO;ADIAR
ADIANTADA;ADIANTADO
ADIANTE;ALÉM
ADICIONANDO;ADICIONAR
ADICIONAR;MAIS
ADIPOSIDADE;GORDO
ADIPOSO;GORDO
ADJUNTO;JUNTO
ADMINISTRATIVA;ADMINISTRATIVO
ADMIRADO;ESPANTADO
ADMISSÃO;PARTICIPAR
ADMOESTAÇÃO;REPREENDER
ADMOESTAR;REPREENDER
ADOÇAR;DOCE
ADOÇAR;DOCE
ADOCICADO;DOCE
ADOCICAR;DOCE
ADOECER;DOENTE
ADOLESCENTE;JOVEM
ADORADA;ADORADO
ADORMECER;DORMIR
ADORMENTAR;DORMIR
ADORO;ADORAR
ADOTADO;ADOÇÃO
ADOTAR;ADOÇÃO
ADOTIVO;ADOÇÃO
ADQUIRINDO;ADQUIRIR
ADULAR;BAJULAR
ADULTA;ADULTO
ADULTERADO;ERRADO
ADULTERAR;ERRADO
ADVERSA;ADVERSO
ADVERSÁRIO;INIMIGO
ADVERSO;INIMIGO
ADVERTIR;REPREENDER
ADVOCACIA;ADVOGADO
AERODROMO;AEROPORTO
AERONAVE;AVIÃO
AEROPLANO;AVIÃO
AFAGO;CARINHO
AFAMADO;FAMOSO
AFANAR;ROUBAR
AFASTADO;DISTÂNCIA
AFASTAR;DISTÂNCIA
AFAVEL;CARINHO
AFEIÇÃO;CARINHO
AFEIÇOADO;DISCÍPULO
AFERIÇÃO;MEDIR
AFERIR;MEDIR
AFERRAR;CERCAR
AFETADO;AFETADA
AFETIVA;AFETIVO
AFETO;CARINHO
AFETUOSO;CARINHO
AFIANÇAR;JURAR
AFIAR;AMOLAR
AFIRMAR;JURAR
AFLIÇÃO;ANGÚSTIA
AFLITO;ANGÚSTIA
AFORTUNADO;RICO
AFRICANA;AFRICANO
AFROBRASILEIRA;AFROBRASILEIRO
AFRONTADO;OFENDER
AFRONTAR;OFENDER
AFUNDO;AFUNDAR
AGASALHAR;CASACO
AGASTADO;IRRITADO
AGENCIAR;PEDIR
AGINDO;AGIR
AGLOMERAÇÃO;MULTIDÃO
AGLOMERADA;AGLOMERADO
AGNOSTICISMO;ATEU
AGNÓSTICO;ATEU
AGONIA;ANGÚSTIA
AGONIADO;ANGÚSTIA
AGRACIADA;AGRACIADO
AGRADÁVEL;BOM
AGRADECENDO;AGRADECER
AGRADECER;OBRIGADA
AGRADECIDO;OBRIGADA
AGRADECIMENTO;OBRIGADA
AGRADO;CARINHO
AGREDIR;BATER
AGREGAÇÃO;REUNIÃO
AGREGANDO;AGREGAR
AGREGAR;REUNIR
AGREGRADA;AGREGADO
AGREMIAÇÃO;ASSOCIAÇÃO
AGRESSIVIDADE;VIOLÊNCIA
AGRICULTOR;HOMEM_ENXADA
AGRICULTORA;MULHER_ENXADA
AGRICULTURADA;AGRICULTURADO
AGRÔNOMA;AGRÔNOMO
AGRUPADA;AGRUPADO
AGRUPADO;JUNTO
AGRUPAMENTO;REUNIÃO
AGRUPAR;JUNTO
AGUARDAR;ESPERAR
AGUÇAR;AFIAR
AGUENTA;AGUENTAR
AIPIM;MACAXEIRA
AIROSO;CARINHO
AJEITAR;ORGANIZADO
AJUDA;AJUDAR
AJUDADO;AJUDAR
AJUDANDO;AJUDAR
AJUNTAR;JUNTO
AJURAMENTADO;JURAR
AJURAMENTO;JURAR
AJUSTADO;APERTADO
AJUSTANDO;AJUSTAR
ALA;FILA
ALAMBIQUE;DESTILARIA
ALAMEDA;RUA
ALARGADA;ALARGADO
ALARMA;ALARME
ALÇAPÃO;ARMADILHA
ALÇAR;ELEVAR
ALCUNHA;APELIDO
ALEGRAR;FELIZ
ALEGRE;CONTENTE
ALEGRIA;FELIZ
ALEIJADO;DEFICIENTE
ALEITAR;AMAMENTAR
ALEMÃ;ALEMANHA
ALEMÃO;ALEMANHA
ALÉRGICO;PESSOA_ALERGIA
ALERTA;ATENÇÃO
ALFABETIZADO;ALFABETIZAR
ALFAIATE;COSTURAR_HOMEM
ALFORJE;SACOLA
ALGARISMO;NÚMERO
ÁLGEBRA;MATEMÁTICA
ALGIBEIRA;BOLSO
ALGUM;ALGUMA
ALGUM;ALGUMA
ALHEIA;ALHEIO
ALIENAÇÃO;DOIDO
ALIENADO;DOIDO
ALIGATOR;JACARÉ
ALIMENTAÇÃO;COMER
ALIMENTADA;ALIMENTADO
ALIMENTANDO;ALIMENTAR
ALIMENTAR;COMER
ALIMENTO;COMER
ALINHADA;ALINHADO
ALIVIADO;ALÍVIO
ALMEJAR;PRETENDER
ALOCADA;ALOCADO
ALOJAR;HOSPEDAR
ALOUCAR;LOUCO
ALPES;MONTANHA
ALPINISMO;ESCALAR
ALPINISTA;ESCALAR
ALTERAÇÃO;MUDAR
ALTERADA;ALTERADO
ALTERANDO;ALTERAR
ALTERAR;MUDAR
ALTIVA;ALTIVO
ALTIVEZ;ORGULHO
ALTIVO;ORGULHO
ALTURA;ALTO
ALUCINÓGENO;DROGA
ALUGUEL;ALUGAR
ALUNA;ALUNO
ALVOR;MADRUGADA
ALVORADA;MADRUGADA
ALVORECER;MADRUGADA
ALVOROÇAR;AGITAR
AMA;BABÁ
AMAMENTAÇÃO;AMAMENTAR
AMANSAR;CALMO
AMARELA;AMARELO
AMARFANHAR;AMASSAR
AMARGOSO;AMARGO
AMARGURA;MÁGOA
AMARGURADO;MÁGOA
AMARRADA;AMARRADO
AMARROTAR;AMASSAR
AMARROTAR;AMASSAR
AMASIADO;AMANTE
AMAZONENSE;AMAZONAS
AMAZÔNICA;AMAZONAS
AMAZÔNICO;AMAZONAS
AMBIÇÃO;COBIÇAR
AMBICIONAR;COBIÇAR
AMBIENTE;LUGAR
AMBOS;ELES
AMEAÇADA;AMEAÇADO
AMEDRONTADO;MEDO
AMENO;SUAVE
AMERICANA;AMERICANO
AMERICANOS;AMERICANO
AMESTRADO;ENSINAR
AMESTRAR;ENSINAR
AMIZADE;AMIGO
AMOLECER;MOLE
AMOLECIDO;MOLE
AMONTOAR;EMPILHAR
AMOR;AMAR
AMPARADA;AMPARADO
AMPARADO;AJUDAR
AMPARAR;CUIDAR
AMPLIADO;AMPLIAR
AMPLIANDO;AMPLIAR
AMPLIAR;GRANDE
ANALISA;ANALISAR
ANALISADA;ANALISADO
ANALISANDO;ANALISAR
ANALISAR;PESQUISA
ANÁLISE;PESQUISA
ANALÓGICA;ANALÓGICO
ANÁLOGO;IGUAL
ANANÁS;ABACAXI
ANARQUIA;CONFUNDIR
ANARQUIZADO;CONFUNDIR
ANCIÃO;VELHO
ANDANDO;ANDAR
ANDARES;ANDAR
ANDES;MONTANHA
ANEDOTA;PIADA
ANÉIS;ANEL
ANGRA;PORTO
ANGUSTIADO;ANGÚSTIA
ANGUSTIAR;ANGÚSTIA
ANIL;AZUL
ANIMAÇÃO;CONTENTE
ANIMADA;ANIMADO
ANIMADO;CONTENTE
ANIMAL;ANIMAIS
ANIMOSIDADE;INIMIGO
ANIQUILAR;DESTRUIR
ANIVERSARIANTE;PESSOA_ANIVERSÁRIO
ANSIAR;PRETENDER
ANSIEDADE;ANSIOSO
ANTAGÔNICO;OPOSTO
ANTECIPAÇÃO;ANTES
ANTECIPANDO;ANTECIPAR
ANTECIPAR;ANTES
ANTEPASSADO;ANTECESSOR
ANTEPASSADOS;ANTEPASSADO
ANTIGA;ANTIGO
ANTIGAMENTE;PASSADO
ANTIGO;PASSADO
ANTIGUIDADE;VELHO
ANTIOBIÓTICA;ANTIBIÓTICO
ANTIPATIZAR;ÓDIO
ANTIPERSPIRANTE;DESODORANTE
ANTIQUADO;RETRÓGRADO
ANTITRANSPIRANTE;DESODORANTE
ANUAL;ANO
ANULADO;CANCELAR
ANULAR;CANCELAR
ANUNCIAÇÃO;AVISAR
ANUNCIADO;ANUNCIAR
ANUNCIANDO;ANUNCIAR
ANUNCIAR;AVISAR
ANÚNCIO;CARTAZ
APAGADA;APAGAR
APAGADO;APAGAR
APAIXONADO;PAIXÃO
APAIXONAR;PAIXÃO
APANHADA;APANHADO
APANHAR;ESPANCAR
APARADA;APARAR
APARADO;APARAR
APARAFUSAR;PARAFUSAR
APARAR;CORTAR
APARECENDO;APARECER
APARECIDA;APARECIDO
APARÊNCIA;ROSTO
APARENTAR;PARECER
APARTADO;DISTÂNCIA
APARTAR;DISTÂNCIA
APARTAR;SEPARAR
APAVORADO;MEDO
APAZIGUAR;CALMO
APELIDAR;APELIDO
APENAS;SOZINHO
APERFEIÇOANDO;APERFEIÇOAR
APERFEIÇOAR;DESENVOLVER
APERITIVO;COQUETEL
APETECER;QUERER
APETITOSO;DELICIOSO
APETRECHO;MATERIAL
ÁPICE;MÁXIMO
APIMENTADO;PIMENTA
APLAUDIDO;APLAUSO
APLAUDINDO;APLAUDIR
APLAUSO;APLAUDIR
APLICADA;APLICAR
APLICADO;APLICAR
APODRECER;PODRE
APOGEU;MÁXIMO
APOIADA;APOIADO
APOIANDO;APOIAR
APOIAR;AJUDAR
APÓIEM;APOIAR
APOLICE;SEGURO
APONTADO;APONTADA
APONTANDO;APONTAR
APONTARMOS;APONTAR
APÓS;DEPOIS
APOSENTADO;APOSENTADA
APOSENTANDO;APOSENTAR
APOSENTAR;APOSENTADA
APOSENTO;QUARTO
APOSTILA;LIVRO
APÓSTOLO;DISCÍPULO
APRAZÍVEL;SUAVE
APRECIADO;APRECIAR
APRECIAR;GOSTAR
APREÇO;RESPEITAR
APREENDER;COMPREENDER
APREENSÃO;PERCEBER
APREENSIVO;MEDO
APRENDENDO;APRENDER
APRENDERAM;APRENDER
APRENDIDA;APRENDER
APRENDIDO;APRENDER
APRENDIZ;ESTUDAR
APRESENTA;APRESENTAR
APRESENTADO;APRESENTAR
APRESENTADO;APRESENTAR
APRESENTANDO;APRESENTAR
APRESSADO;ANSIOSO
APRESSAR;RÁPIDO
APRIMORAMENTO;MELHORAR
APRIMORAR;MELHORAR
APRISIONADO;PRISÃO
APRISIONAR;PRENDER
APROFUNDAR;PROFUNDO
APROPRIADA;APROPRIADO
APROPRIANDO;APROPRIAR
APROVADA;APROVADO
APROVEITADA;APROVEITADO
APROVEITANDO;APROVEITAR
APROXIMADA;APROXIMADO
APROXIMADO;PERTO
APROXIMANDO;APROXIMAR
APTIDÃO;VOCAÇÃO
APURADA;APURAR
APURADO;APURAR
APURAR;DESENVOLVER
APURRINHANDO;APURRINHAR
AQUÁTICA;AQUÁTICO
AQUECIDA;AQUECIDO
AQUIETAR;CALMO
ARAGEM;VENTO
ARAPUCA;ARMADILHA
ÁRBITRO;ABITRAR
ARCANJO;ANJO
ARCUNFERÊNCIA;CÍRCULO
ARDENTE;ARDER
ARDIDO;PIMENTA
ARDILOSO;ESPERTO
ÁRDUO;DIFÍCIL
ÁRDUO;DIFÍCIL
AREIA;TERRA
AREJADO;FRESCO
ARENOSO;TERRA
ARGAMASSA;CIMENTO
ARGENTINO;ARGENTINA
ARGILA;LAMA
ARGILOSO;LAMA
ARITMÉTICA;MATEMÁTICA
ARLEQUIM;PALHAÇO
ARMA;ATIRAR
ARMADA;ARMAR
ARMADO;ARMAR
ARMAZENANDO;ARMAZENAR
AROMA;CHEIRO
ARQUITETO;ARQUITETURA
ARQUITETÔNICA;ARQUITETÔNICO
ARQUIVAMENTO;ARQUIVO
ARRANHADO;ARRANHAR
ARRANJAR;ORGANIZADO
ARREBENTAR;REBENTAR
ARRECADAR;GUARDAR
ARREDA;SAIR
ARREDONDADO;REDONDO
ARREDORES;VIZINHO
ARREMATAR;PEGAR
ARREMESSO;ARREMESSAR
ARRENDAMENTO;ALUGAR
ARRENDAR;ALUGAR
ARREPENDIDO;ARREPENDER
ARREPENDIMENTO;ARREPENDER
ARRIAR;ABAIXAR
ARRISCADO;PERIGOSO
ARRISCANDO;ARRISCAR
ARRISCAR;APOSTAR
ARROJADO;CORAJOSO
ARROJO;CORAJOSO
ARROLAR;LISTAR
ARROTO;ARROTAR
ARRUMANDO;ARRUMAR
ARRUMAR;ORGANIZADO
ARTICULADA;ARTICULAR
ARTICULADO;ARTICULAR
ARTÍSTICA;ARTÍSTICO
ASCENSORISTA;ELEVADOR
ASCO;NOJO
ASFIXIA;SUFOCAR
ASFIXIAR;SUFOCAR
ASNÁTICA;ESTÚPIDO
ASNÁTICO;ESTÚPIDO
ASNEIRA;BESTEIRA
ASNO;BURRO
ASPEREZA;ÁSPERO
ASPIRADA;ASPIRAR
ASPIRADO;ASPIRAR
ASPIRANDO;ASPIRAR
ASQUEROSO;NOJENTO
ASSALTANTE;LADRÃO
ASSALTANTE;LADRÃO
ASSALTO;LADRÃO
ASSASSINAR;MATAR
ASSASSINATO;MATAR
ASSASSÍNIO;MATAR
ASSASSINO;HOMEM_MATAR
ASSEGURAR;JURAR
ASSEIO;HIGIENE
ASSEMBLEIA;REUNIÃO
ASSEMELHADA;ASSEMELHADO
ASSEMELHAR;PARECER
ASSENTAR;CADEIRA
ASSENTIR;CONCORDAR
ASSENTO;CADEIRA
ASSESSOR;SECRETÁRIO
ASSESSORA;ASSESSOR
ASSESSORAR;AJUDAR
ASSEVERAR;JURAR
ASSIMILADA;ASSIMILADO
ASSIMILAR;APRENDER
ASSINADA;ASSINAR
ASSINADO;ASSINAR
ASSINANDO;ASSINAR
ASSINATURA;ASSINAR
ASSISTENTE;PESSOA_AJUDAR
ASSISTIDA;ASSISTIDO
ASSISTINDO;ASSISTIR
ASSOALHO;CHÃO
ASSOBIO;ASSOBIAR
ASSOCIADA;ASSOCIAR
ASSOCIADO;ASSOCIAR
ASSOCIADO;CLUBE
ASSOCIADOS;ASSOCIADO
ASSOLAR;DESTRUIR
ASSOMBRADO;ESPANTADO
ASSOVIAR;ASSOBIAR
ASSOVIO;ASSOBIAR
ASSUMIDA;ASSUMIDO
ASSUSTADOR;ASSUSTAR
ASSUSTADORA;ASSUSTAR
ASTRÔNOMO;PESSOA_ASTRONOMIA
ASTUTO;ESPERTO
ATAR;AMARRAR
ATAREFADO;OCUPADO
ATARRAXAR;PARAFUSAR
ATAÚDE;CAIXÃO
ATCHIN;ESPIRRO
ATEISMO;ATEU
ATENDENDO;ATENDER
ATENDER;ATENDER
ATENDERMOS;ATENDER
ATENTO;ATENÇÃO
ATENUAR;ALIVIAR
ATERRISSAR;POUSAR
ATERRORIZADO;MEDO
ATERRORIZAR;ASSUSTAR
ATESTAR;TESTEMUNHAR
ATINADO;ATENÇÃO
ATINAR;COMPREENDER
ATINGIDA;ATINGIDO
ATINGINDO;ATINGIR
ATIRAR;ATIRAR
ATIVA;ATIVO
ATIVIDADES;ATIVIDADE
ATLÂNTICA;ATLÂNTICO
ATLETA;JOGADOR
ATMOSFERA;CÉU
ATO;FAZER
ATOLEIRO;LAMA
ATÔNITO;ESPANTADO
ATÔNITO;PASMO
ATORDOAMENTO;VERTIGEM
ATRAÍDA;ATRAÍDO
ATRAPALHADO;CONFUNDIR
ATRAPALHAR;CONFUNDIR
ATRASADA;ATRASADO
ATRASADO;ATRASADO
ATRASAR;ATRASADO
ATRIBUINDO;ATRIBUIR
ATRIBUTO;MEDALHA
ATUAL;AGORA
ATUALIZADA;ATUALIZADO
ATUALIZANDO;ATUALIZAR
ATUANDO;ATUAR
ATURDIMENTO;CONFUNDIR
ATURDIR;CONFUNDIR
AUDÁCIA;CORAJOSO
AUDACIOSAMENTE;CORAJOSO
AUDACIOSO;CORAJOSO
AUDAZ;CORAJOSO
AUDIÇÃO;OUVIR
AUFERIR;MEDIR
ÁUGE;MÁXIMO
AUMENTADA;AUMENTADO
AUMENTANDO;AUMENTAR
AUMENTAR;GRANDE
AURORA;MADRUGADA
AUSCULTADOR;ESTETOSCÓPIO
AUSENTAR;SAÍDA
AUSENTE;AUSÊNCIA
AUTENTICADA;AUTENTICADO
AUTÊNTICO;ORIGINAL
AUTOMOBILISMO;DIRIGIR
AUTOMOTIVA;AUTOMOTIVO
AUTOMÓVEL;CARRO
AUTOMÓVEL;DIRIGIR
AUTOMZATIZADA;AUTOMATIZADO
AUTONOMIA;LIVRE
AUTÔNOMO;LIVRE
AUTORA;AUTOR
AUTORIA;AUTOR
AUTORIZAÇÃO;AUTORIZAR
AUTORIZADA;AUTORIZADO
AUXILIADO;AJUDAR
AUXILIAR;PESSOA_AJUDAR
AVANÇADA;AVANÇO
AVANÇADO;AVANÇO
AVANÇANDO;AVANÇAR
AVANTAJADO;GRANDE
AVAREZA;AVARENTO
AVARIAR;ESTRAGAR
ÁVARO;AVARENTO
AVASSALADORA;AVASSALADOR
AVE;PÁSSARO
AVERIGUAR;PROCURAR
AVERSÃO;ÓDIO
AVESSO;OPOSTO
AVISADO;AVISAR
AVISTAR;VER
AVÓ;VOVÓ
AVÔ;VOVÔ
ÁVOREDO;ÁRVORE
AZARADO;AZAR
AZARAR;PAQUERAR
AZEDUME;AZEDO
AZEITAR;AZEITE
AZULADO;AZUL
BABUÍNO;MACACO
BACIA;TIGELA
BADALAR;SINO
BADERNA;CONFUNDIR
BAGACEIRA;AGUARDENTE
BAGUNÇA;CONFUNDIR
BAGUNÇAR;CONFUNDIR
BAILAR;DANÇAR
BAILARINA;BALE
BAILARINO;BAILARINA
BAILARINO;BALE
BAIXANDO;BAIXAR
BAIXAR;ABAIXAR
BAIXÍSSIMA;BAIXÍSSIMA
BALADEIRA;BALEADEIRA
BALANÇAR;AGITAR
BALBÚRDIA;CONFUNDIR
BALDEAÇÃO;BALDER
BALOFO;GORDO
BANCÁRIA;BANCÁRIO
BANCO;SENTAR
BANDALHEIRA;ENGANAR
BANDEIRANTE;ESCOTEIRO
BANDIDO;LADRÃO
BANDO;GRUPO
BANDOLEIRO;LADRÃO
BANIR;EXPULSAR
BANQUETA;CADEIRA
BANQUINHO;CADEIRA
BARALHAR;MISTURAR
BÁRBARO;BRUTO
BARBEADOR;BARBEAR
BARBEIRO;HOMEM_BARBEAR
BARBICHA;BARBA
BARCAÇA;BARCO
BARRA;BAINHA
BARRENTO;LAMA
BARRO;LAMA
BARULHO;BARULHENTO
BASALTO;PEDRA
BASEADA;BASEADO
BASEANDO;BASEAR
BASÍLICA;IGREJA
BASQUETEBOL;BASQUETE
BASTA;ACABAR
BATALHADORA;BATALHADOR
BATALHANDO;BATALHAR
BATENDO;BATER
BATE-PAPO;CHAT
BATIDA;COLIDIR
BATISMO;BATIZAR
BATIZADO;BATIZAR
BAZAR;LOJA
BEBEDOURO;TOMAR_ÁGUA
BEBER;TOMAR
BEBIDA;TOMAR
BEIRA-MAR;LITORAL
BELA;BONITO
BELEZA;BONITO
BELO;BONITO
BELZEBU;DIABO
BEM;BOM
BEM-SUCEDIDO;BEM-SUCEDIDA
BENÉFICA;BENÉFICO
BENEVOLÊNCIA;BOM
BENS;DINHEIRO
BENZER;ABENÇOAR
BERGAMOTA;TANGERINA
BERRAR;GRITAR
BERRO;GRITAR
BESTAGEM;BESTEIRA
BEZERRA;BEZERRO
BICA;FONTE
BICHA;HOMOSSEXUAL
BICHO;ANIMAIS
BIG;GRANDE
BILINGUISMO;BILÍNGUE
BILÓGICA;BILÓGICO
BIMESTRAL;BIMESTRE
BIOGEOGRÁFICA;BIOGEOGRÁFICO
BIÓLOGA;BIÓLOGO
BIOLÓGICA;BIOLÓGICO
BIPE;BIP
BIRITA;AGUARDENTE
BIROSCA;BAR
BIRRENTO;TEIMOSO
BISBILHOTAR;CURIOSO
BISBILHOTEIRO;CURIOSO
BISBILHOTICE;CURIOSO
BLAZER;CASACO
BLENORRÁGIA;GONORREIA
BLENORREIA;GONORREIA
BLINDADA;BLINDADO
BLOQUEANDO;BLOQUEAR
BLOQUEIO;BARREIRA
BOA;BOM
BOBAGEM;BESTEIRA
BOCA;LÁBIO
BODOQUE;BALEADEIRA
BOFETADA;ESBOFETEAR
BOFETÃO;ESBOFETEAR
BOLACHA;BISCOITO
BOLOR;MOFO
BOMBADA;BOMBADO
BOMBAGEM;BESTEIRA
BOMBARDEADA;BOMBARDEADO
BOMBARDEANDO;BOMBARDEAR
BOMBOM;DOCE
BONDADE;BOM
BONDOSA;BONDOSO
BONECA;BONECO
BONITA;BONITO
BONS;BOM
BONSAI;ÁRVORE
BONZINHO;BOAZINHA
BOQUIABERTO;ESPANTADO
BORDADO;COSTURAR
BORDAR;COSTURAR
BORRASCA;TEMPESTADE
BOSQUE;FLORESTA
BOSTA;DEFECAR
BOTANDO;BOTAR
BOTÂNICA;BOTÂNICO
BOTECO;BAR
BOTEQUIM;BAR
BOTINA;BOTA
BOVINO;BOI
BOXEADOR;BOXE
BRACAR;FREIAR
BRADAR;GRITAR
BRADO;GRITAR
BRAMIDO;GRITO
BRANCA;BRANCO
BRANDO;SUAVE
BRASILEIRA;BRASIL
BRASILEIRO;BRASIL
BRAVO;RAIVA
BREAK;PARA
BREVEMENTE;BREVE
BRICOMANIA;BRUXISMO
BRIDA;RÉDEAS
BRIDÃO;RÉDEAS
BRIGADA;BRIGADO
BRIGANDO;BRIGAR
BRILHANTE;BRILHO
BRILHAR;BRILHO
BRINCADEIRA;BRINCAR
BRINDE;PRESENTE
BRIO;ORGULHO
BRISA;VENTO
BROCHURA;ENCADERNAR
BRONCA;CENSURA
BRONZEADO;MORENO
BROTAR;GERMINAR
BRUTALIDADE;VIOLÊNCIA
BRUXOMANIA;BRUXISMO
BUCHA;ESPONJA
BUCHO;ESTÔMAGO
BUDISMO;BUDA
BUG;ERRO
BURGUESA;BURGUÊS
BURLA;ENGANADO
BURLADO;ENGANADO
BUROCRÁTICA;BUROCRÁTICO
BURRICE;BURRO
BUSCADA;BUSCADO
BUSCANDO;BUSCAR
BUZIO;CONCHA
CABAZ;CESTA
CABE;CABER
CABEADA;CABEADO
CABELEIRA;CABELO
CABER;DENTRO
CABOCLO;HOMEM_ENXADA
CABRESTO;RÉDEAS
CABRITA;CABRA
CABRITO;BODE
CAÇANDO;CAÇAR
CACHAÇA;AGUARDENTE
CACHIMBAR;CACHIMBO
CAÇOAR;ZOMBAR
CADASTRADA;CADASTRADO
CADASTRO;INSCRIÇÃO
CADELA;CACHORRO
CADERNETA;CADERNO
CADUCO;VELHO
CAGANEIRA;DIARRÉIA
CAGAR;DEFECAR
CÃIBRA;CÂIMBRA
CAÍDA;CAÍDO
CAIMÃO;JACARÉ
CAINDO;CAIR
CAIXOTE;CAIXA
CALABOUÇO;CADEIA
CALÃO;GÍRIA
CALCADA;CALCADO
CALÇADO;SAPATO
CALÇÃO;BERMUDA
CÁLCULO;CALCULAR
CALDO;SOPA
CALHAMBEQUE;DIRIGIR
CÁLICE;TAÇA
CALMA;CALMO
CALVÍCIE;CALVO
CAMARADA;AMIGO
CAMBIAR;TROCAR
CÂMERA;FILMAR
CAMINHANDO;CAMINHAR
CAMINHAR;ANDAR
CAMINHONETE;PICAPE
CAMISETA;BLUSA
CAMPA;TÚMULO
CAMPÂNULA;CAMPAINHA
CAMPEÃ;MULHER_CAMPEÃO
CAMPONESA;CAMPONÊS
CAMUFLAR;ESCONDER
CAMUNDONGO;RATO
CANÇÃO;MÚSICA
CANCELA;PORTA
CANCELADO;CANCELAR
CANCERÍGENO;CÂNCER
CANCRO;CÂNCER
CÂNDIDO;BRANCO
CÂNHAMO;MACONHA
CANÍDEO;CACHORRO
CANINHA;AGUARDENTE
CANINO;CACHORRO
CANIVETE;FACA
CANOAGEM;CANOA
CANSAÇO;CANSADO
CANSAR;CANSADO
CANSEIRA;CANSADO
CANTAROLAR;CANTAR
CÂNTICO;MÚSICA
CANUDINHO;CANUDO
CÃO;CACHORRO
CAPA;CASACO
CAPACHO;TAPETE
CAPACITADA;CAPACITADO
CAPACITADOR;PROFESSOR
CAPELA;IGREJA
CAPENGAR;MANCAR
CAPETA;DIABO
CAPOEIRISTA;CAPOEIRA
CAPTA;PESSOA
CAPTADA;CAPTADO
CARA;FACE
CARABINA;ESPINGARDA
CARACTERÍSTICO;CARACTERÍSTICA
CARAMBOLEIRA;CARAMBOLA
CARAPANA;MOSCA
CARAPINHA;PIXAIM
CARAVELA;BARCO
CARBONIZAR;QUEIMAR
CARCAÇA;CAVEIRA
CARCERAGEM;CADEIA
CÁRCERE;PRISÃO
CARCINOMA;CÂNCER
CARDÍACO;CORAÇÃO
CARECER;PRECISAR
CARÊNCIA;FALTAR
CARESTIA;CARO
CARGO;EMPREGO
CARÍCIA;CARINHO
CARIMBAR;CARIMBO
CARINHOSA;CARINHO
CARINHOSO;CARINHO
CARNEIRO;OVELHA
CARONISTA;CARONA
CARPETE;TAPETE
CARRÃO;CARRO
CARREGADA;CARREGADO
CARREGADOR;CARREGAR
